case,cc3,country,year,systemic_crisis,exch_usd,domestic_debt_in_default,sovereign_external_debt_default,gdp_weighted_default,inflation_annual_cpi,independence,currency_crises,inflation_crises,banking_crisis
1,DZA,Algeria,1870,1,0.052264,0,0,0,3.441455696,0,0,0,crisis
1,DZA,Algeria,1871,0,0.052798,0,0,0,14.14913958,0,0,0,no_crisis
1,DZA,Algeria,1872,0,0.052274,0,0,0,-3.718592965,0,0,0,no_crisis
1,DZA,Algeria,1873,0,0.05168,0,0,0,11.20389701,0,0,0,no_crisis
1,DZA,Algeria,1874,0,0.051308,0,0,0,-3.848560701,0,0,0,no_crisis
1,DZA,Algeria,1875,0,0.051546,0,0,0,-20.92417833,0,0,0,no_crisis
1,DZA,Algeria,1876,0,0.051867,0,0,0,-1.769547325,0,0,0,no_crisis
1,DZA,Algeria,1877,0,0.051867,0,0,0,29.11604525,0,0,1,no_crisis
1,DZA,Algeria,1878,0,0.051948,0,0,0,-1.492537313,0,0,0,no_crisis
1,DZA,Algeria,1879,0,0.052029,0,0,0,-16.83135705,0,0,0,no_crisis
1,DZA,Algeria,1880,0,0.052356,0,0,0,3.881188119,0,0,0,no_crisis
1,DZA,Algeria,1881,0,0.052029,0,0,0,12.61913839,0,0,0,no_crisis
1,DZA,Algeria,1882,0,0.050761,0,0,0,-12.35612729,0,0,0,no_crisis
1,DZA,Algeria,1883,0,0.052002,0,0,0,-1.390498262,0,0,0,no_crisis
1,DZA,Algeria,1884,0,0.052165,0,0,0,-15.94202899,0,0,0,no_crisis
1,DZA,Algeria,1939,0,0.44903,0,0,0,9.756097561,0,0,0,no_crisis
1,DZA,Algeria,1940,0,0.49189,0,0,0,22.22222222,0,0,1,no_crisis
1,DZA,Algeria,1941,0,0.44937,0,0,0,16.36363636,0,0,0,no_crisis
1,DZA,Algeria,1942,0,0.75,0,0,0,28.125,0,0,1,no_crisis
1,DZA,Algeria,1943,0,0.5,0,0,0,46.34146341,0,1,1,no_crisis
1,DZA,Algeria,1944,0,0.5,0,0,0,41.66666667,0,1,1,no_crisis
1,DZA,Algeria,1945,0,1.191,0,0,0,29.41176471,0,0,1,no_crisis
1,DZA,Algeria,1946,0,1.191,0,0,0,18.18181818,0,0,0,no_crisis
1,DZA,Algeria,1947,0,1.193,0,0,0,69.23076923,0,0,1,no_crisis
1,DZA,Algeria,1948,0,2.662,0,0,0,63.63636364,0,0,1,no_crisis
1,DZA,Algeria,1949,0,3.49,0,0,0,23.61111111,0,0,1,no_crisis
1,DZA,Algeria,1950,0,3.499,0,0,0,0,0,0,0,no_crisis
1,DZA,Algeria,1951,0,3.5,0,0,0,6.741573034,0,0,0,no_crisis
1,DZA,Algeria,1952,0,3.5,0,0,0,6.315789474,0,0,0,no_crisis
1,DZA,Algeria,1953,0,3.5,0,0,0,-0.99009901,0,0,0,no_crisis
1,DZA,Algeria,1954,0,3.5,0,0,0,1,0,0,0,no_crisis
1,DZA,Algeria,1955,0,3.5,0,0,0,0,0,0,0,no_crisis
1,DZA,Algeria,1956,0,3.5,0,0,0,1.98019802,0,0,0,no_crisis
1,DZA,Algeria,1957,0,4.199,0,0,0,2.912621359,0,0,0,no_crisis
1,DZA,Algeria,1958,0,4.906,0,0,0,12.26415094,0,0,0,no_crisis
1,DZA,Algeria,1959,0,4.909,0,0,0,9.243697479,0,0,0,no_crisis
1,DZA,Algeria,1960,0,4.93706,0,0,0,5.384615385,0,1,0,no_crisis
1,DZA,Algeria,1961,0,4.93706,0,0,0,2.919708029,0,0,0,no_crisis
1,DZA,Algeria,1968,0,4.93706,0,0,0,6.599987838,1,0,0,no_crisis
1,DZA,Algeria,1969,0,4.93706,0,0,0,2.626631862,1,0,0,no_crisis
1,DZA,Algeria,1970,0,4.93706,0,0,0,3.656320975,1,0,0,no_crisis
1,DZA,Algeria,1971,0,4.644,0,0,0,6.172816266,1,0,0,no_crisis
1,DZA,Algeria,1972,0,4.556,0,0,0,4.734228715,1,0,0,no_crisis
1,DZA,Algeria,1973,0,4.185,0,0,0,8.961134756,1,0,0,no_crisis
1,DZA,Algeria,1974,0,3.997,0,0,0,8.87917187,1,0,0,no_crisis
1,DZA,Algeria,1975,0,4.125,0,0,0,12.09893382,1,0,0,no_crisis
1,DZA,Algeria,1976,0,4.359,0,0,0,17.17351914,1,0,0,no_crisis
1,DZA,Algeria,1977,0,4.035,0,0,0,11.45037883,1,0,0,no_crisis
1,DZA,Algeria,1978,0,3.8345,0,0,0,9.668492611,1,0,0,no_crisis
1,DZA,Algeria,1979,0,3.7555,0,0,0,14.60957788,1,0,0,no_crisis
1,DZA,Algeria,1980,0,3.9715,0,0,0,9.668,1,0,0,no_crisis
1,DZA,Algeria,1981,0,4.378,0,0,0,14.61,1,0,0,no_crisis
1,DZA,Algeria,1982,0,4.6355,0,0,0,6.593,1,0,0,no_crisis
1,DZA,Algeria,1983,0,4.9165,0,0,0,7.835,1,0,0,no_crisis
1,DZA,Algeria,1984,0,5.1227,0,0,0,6.31,1,0,0,no_crisis
1,DZA,Algeria,1985,0,4.7728,0,0,0,10.432,1,0,0,no_crisis
1,DZA,Algeria,1986,0,4.8235,0,0,0,14.007,1,0,0,no_crisis
1,DZA,Algeria,1987,0,4.9363,0,0,0,5.857,1,0,0,no_crisis
1,DZA,Algeria,1988,0,6.7308,0,0,0,5.938,1,1,0,no_crisis
1,DZA,Algeria,1989,0,8.0324,0,0,0,9.172,1,1,0,no_crisis
1,DZA,Algeria,1990,1,12.1908,0,0,0,9.272,1,1,0,crisis
1,DZA,Algeria,1991,1,21.3919,0,1,0.23,25.9,1,1,1,crisis
1,DZA,Algeria,1992,1,22.7814,0,1,0.23,31.7,1,0,1,crisis
1,DZA,Algeria,1993,0,24.123,0,1,0.23,20.5,1,0,1,no_crisis
1,DZA,Algeria,1994,0,42.8925,0,1,0.23,29,1,1,1,no_crisis
1,DZA,Algeria,1995,0,52.175,0,1,0.23,29.8,1,1,1,no_crisis
1,DZA,Algeria,1996,0,56.1859,0,1,0.23,18.7,1,0,0,no_crisis
1,DZA,Algeria,1997,0,58.4139,0,0,0,5.7,1,0,0,no_crisis
1,DZA,Algeria,1998,0,60.3531,0,0,0,4.95,1,0,0,no_crisis
1,DZA,Algeria,1999,0,69.3143,0,0,0,2.6,1,0,0,no_crisis
1,DZA,Algeria,2000,0,75.3428,0,0,0,0.3,1,0,0,no_crisis
1,DZA,Algeria,2001,0,77.8196,0,0,0,4.2,1,0,0,no_crisis
1,DZA,Algeria,2002,0,79.7234,0,0,0,1.43,1,0,0,no_crisis
1,DZA,Algeria,2003,0,72.6128,0,0,0,4.259,1,0,0,no_crisis
1,DZA,Algeria,2004,0,72.6137,0,0,0,3.972,1,0,0,no_crisis
1,DZA,Algeria,2005,0,73.3799,0,0,0,1.382,1,0,0,no_crisis
1,DZA,Algeria,2006,0,71.1582,0,0,0,2.315,1,0,0,no_crisis
1,DZA,Algeria,2007,0,66.8299,0,0,0,3.674,1,0,0,no_crisis
1,DZA,Algeria,2008,0,71.1826,0,0,0,4.855,1,0,0,no_crisis
1,DZA,Algeria,2009,0,72.7309,0,0,0,5.743,1,0,0,no_crisis
1,DZA,Algeria,2010,0,74.9437,0,0,0,3.913,1,0,0,no_crisis
1,DZA,Algeria,2011,0,76.0563,0,0,0,4.522,1,0,0,no_crisis
1,DZA,Algeria,2012,0,78.1025,0,0,0,8.916,1,0,0,no_crisis
1,DZA,Algeria,2013,0,78.1487013,0,0,0,3.255,1,0,0,no_crisis
1,DZA,Algeria,2014,0,87.9706983,0,0,0,2.917,1,0,0,no_crisis
2,AGO,Angola,1921,0,1.25E-08,0,0,0,29.62962963,0,0,1,no_crisis
2,AGO,Angola,1922,0,2.21E-08,0,0,0,45.71428571,0,0,1,no_crisis
2,AGO,Angola,1923,0,2.81E-08,0,0,0,68.62745098,0,0,1,no_crisis
2,AGO,Angola,1924,0,2.08E-08,0,0,0,126.744186,0,0,1,no_crisis
2,AGO,Angola,1925,0,1.95E-08,0,0,0,-27.17948718,0,0,0,no_crisis
2,AGO,Angola,1926,0,1.95E-08,0,0,0,-7.042253521,0,0,0,no_crisis
2,AGO,Angola,1927,0,2.02E-08,0,0,0,-17.42424242,0,0,0,no_crisis
2,AGO,Angola,1928,0,2.27E-08,0,0,0,-9.174311927,0,0,0,no_crisis
2,AGO,Angola,1929,0,2.22E-08,0,0,0,-5.050505051,0,0,0,no_crisis
2,AGO,Angola,1930,0,2.23E-08,0,0,0,-5.319148936,0,0,0,no_crisis
2,AGO,Angola,1931,0,3.10E-08,0,0,0,0,0,0,0,no_crisis
2,AGO,Angola,1932,0,3.31E-08,0,0,0,-2.247191011,0,0,0,no_crisis
2,AGO,Angola,1933,0,2.13E-08,0,0,0,2.298850575,0,0,0,no_crisis
2,AGO,Angola,1934,0,2.22E-08,0,0,0,3.370786517,0,0,0,no_crisis
2,AGO,Angola,1935,0,2.23E-08,0,0,0,5.434782609,0,0,0,no_crisis
2,AGO,Angola,1936,0,2.25E-08,0,0,0,-1.030927835,0,0,0,no_crisis
2,AGO,Angola,1937,0,2.21E-08,0,0,0,2.083333333,0,0,0,no_crisis
2,AGO,Angola,1938,0,2.36E-08,0,0,0,2.040816327,0,0,0,no_crisis
2,AGO,Angola,1939,0,2.77E-08,0,0,0,1,0,0,0,no_crisis
2,AGO,Angola,1940,0,2.51E-08,0,0,0,13.86138614,0,0,0,no_crisis
2,AGO,Angola,1941,0,0.000000025,0,0,0,16.52173913,0,0,0,no_crisis
2,AGO,Angola,1942,0,0.000000025,0,0,0,17.91044776,0,0,0,no_crisis
2,AGO,Angola,1943,0,0.000000025,0,0,0,13.92405063,0,0,0,no_crisis
2,AGO,Angola,1944,0,0.000000025,0,0,0,7.777777778,0,0,0,no_crisis
2,AGO,Angola,1945,0,0.000000025,0,0,0,5.154639175,0,0,0,no_crisis
2,AGO,Angola,1946,0,2.63E-08,0,0,0,4.901960784,0,0,0,no_crisis
2,AGO,Angola,1947,0,2.50E-08,0,0,0,13.55140187,0,0,0,no_crisis
2,AGO,Angola,1948,0,2.58E-08,0,0,0,-16.87242798,0,0,0,no_crisis
2,AGO,Angola,1949,0,2.86E-08,0,0,0,-0.99009901,0,0,0,no_crisis
2,AGO,Angola,1950,0,2.91E-08,0,0,0,4,0,0,0,no_crisis
2,AGO,Angola,1951,0,2.91E-08,0,0,0,-7.692307692,0,0,0,no_crisis
2,AGO,Angola,1952,0,0.000000029,0,0,0,3.125,0,0,0,no_crisis
2,AGO,Angola,1953,0,0.000000029,0,0,0,0,0,0,0,no_crisis
2,AGO,Angola,1954,0,2.88E-08,0,0,0,-4.04040404,0,0,0,no_crisis
2,AGO,Angola,1955,0,2.88E-08,0,0,0,0,0,0,0,no_crisis
2,AGO,Angola,1956,0,2.88E-08,0,0,0,3.157894737,0,0,0,no_crisis
2,AGO,Angola,1957,0,2.88E-08,0,0,0,1.020408163,0,0,0,no_crisis
2,AGO,Angola,1958,0,2.88E-08,0,0,0,2.02020202,0,0,0,no_crisis
2,AGO,Angola,1959,0,2.89E-08,0,0,0,0,0,1,0,no_crisis
2,AGO,Angola,1960,0,2.88E-08,0,0,0,-0.99009901,0,0,0,no_crisis
2,AGO,Angola,1961,0,2.88E-08,0,0,0,2,0,0,0,no_crisis
2,AGO,Angola,1962,0,2.89E-08,0,0,0,5.882352941,0,0,0,no_crisis
2,AGO,Angola,1970,0,2.88E-08,0,0,0,7.965434021,0,1,0,no_crisis
