dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,total_rentals
2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985
2011-01-02,1,0,1,0,0,0,2,0.363478,0.35373899999999997,0.696087,0.24853899999999998,131,670,801
2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.43727299999999997,0.248309,120,1229,1349
2011-01-04,1,0,1,0,2,1,1,0.2,0.21212199999999998,0.590435,0.160296,108,1454,1562
2011-01-05,1,0,1,0,3,1,1,0.22695700000000002,0.22926999999999997,0.436957,0.1869,82,1518,1600
2011-01-06,1,0,1,0,4,1,1,0.204348,0.23320900000000003,0.518261,0.0895652,88,1518,1606
2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.49869600000000003,0.168726,148,1362,1510
2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959
2011-01-09,1,0,1,0,0,0,1,0.13833299999999998,0.116175,0.434167,0.36195,54,768,822
2011-01-10,1,0,1,0,1,1,1,0.150833,0.15088800000000002,0.482917,0.22326700000000002,41,1280,1321
2011-01-11,1,0,1,0,2,1,2,0.16909100000000002,0.19146400000000002,0.6863640000000001,0.12213199999999999,43,1220,1263
2011-01-12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162
2011-01-13,1,0,1,0,4,1,1,0.165,0.150883,0.47041700000000003,0.301,38,1368,1406
2011-01-14,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421
2011-01-15,1,0,1,0,6,0,2,0.23333299999999998,0.248112,0.49875,0.15796300000000002,222,1026,1248
2011-01-16,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251,953,1204
2011-01-17,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117,883,1000
2011-01-18,1,0,1,0,2,1,2,0.216667,0.23233299999999998,0.861667,0.146775,9,674,683
