ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status
5849,0,0,360,Yes,1
4583,1508,128,360,Yes,0
3000,0,66,360,Yes,1
2583,2358,120,360,Yes,1
6000,0,141,360,Yes,1
5417,4196,267,360,Yes,1
2333,1516,95,360,Yes,1
3036,2504,158,360,No,0
4006,1526,168,360,Yes,1
12841,10968,349,360,Yes,0
3200,700,70,360,Yes,1
2500,1840,109,360,Yes,1
3073,8106,200,360,Yes,1
1853,2840,114,360,Yes,0
1299,1086,,120,Yes,1
4950,0,125,360,Yes,1
3596,0,100,240,No,1
3510,0,76,360,No,0
4887,0,133,360,Yes,0
2600,3500,115,0,Yes,1
7660,0,104,360,No,0
5955,5625,315,360,Yes,1
2600,1911,116,360,No,0
3365,1917,112,360,No,0
3717,2925,151,360,No,0
9560,0,191,360,Yes,1
2799,2253,122,360,Yes,1
4226,1040,110,360,Yes,1
1442,0,35,360,Yes,0
3750,2083,120,360,Yes,1
4166,3369,201,360,No,0
3167,0,74,360,Yes,0
4692,0,106,360,Yes,0
3500,1667,114,360,Yes,1
12500,3000,320,360,Yes,0
2275,2067,0,360,Yes,1
1828,1330,100,0,No,0
3667,1459,144,360,Yes,1
4166,7210,184,360,Yes,1
3748,1668,110,360,Yes,1
3600,0,80,360,Yes,0
1800,1213,47,360,Yes,1
2400,0,75,360,No,1
3941,2336,134,360,Yes,1
4695,0,96,0,Yes,1
3410,0,88,0,Yes,1
5649,0,44,360,Yes,1
5821,0,144,360,Yes,1
2645,3440,120,360,No,0
4000,2275,144,360,Yes,1
1928,1644,100,360,Yes,1
3086,0,,360,Yes,1
4230,0,112,360,Yes,0
4616,0,134,360,Yes,0
11500,0,286,360,No,0
2708,1167,97,360,Yes,1
2132,1591,96,360,Yes,1
3366,2200,135,360,Yes,0
8080,2250,180,360,Yes,1
3357,2859,144,360,Yes,1
2500,3796,120,360,Yes,1
3029,0,99,360,Yes,1
2609,3449,165,180,No,0
4945,0,0,360,No,0
4166,0,116,360,No,0
5726,4595,258,360,Yes,0
3200,2254,126,180,No,0
10750,0,312,360,Yes,1
7100,0,125,60,Yes,1
4300,0,136,360,No,0
3208,3066,172,360,Yes,1
1875,1875,97,360,Yes,1
3500,0,81,300,Yes,1
4755,0,95,0,No,0
5266,1774,187,360,Yes,1
3750,0,113,480,Yes,0
3750,4750,176,360,Yes,0
1000,3022,110,360,Yes,0
3167,4000,180,300,No,0
3333,2166,130,360,No,1
3846,0,111,360,Yes,1
2395,0,0,360,Yes,1
1378,1881,167,360,Yes,0
6000,2250,265,360,No,0
3988,0,50,240,Yes,1
2366,2531,136,360,Yes,1
3333,2000,99,360,No,1
2500,2118,104,360,Yes,1
8566,0,210,360,Yes,1
5695,4167,175,360,Yes,1
2958,2900,131,360,Yes,1
6250,5654,188,180,Yes,1
3273,1820,81,360,Yes,1
