,Customer Id,Age,Edu,Years Employed,Income,Card Debt,Other Debt,Defaulted,DebtIncomeRatio
0,1,41,2,6,19,0.124,1.073,0.0,6.3
1,2,47,1,26,100,4.582,8.218,0.0,12.8
2,3,33,2,10,57,6.111000000000001,5.8020000000000005,1.0,20.9
3,4,29,2,4,19,0.6809999999999999,0.516,0.0,6.3
4,5,47,1,31,253,9.308,8.908,0.0,7.2
5,6,40,1,23,81,0.998,7.831,,10.9
6,7,38,2,4,56,0.442,0.45399999999999996,0.0,1.6
7,8,42,3,0,64,0.27899999999999997,3.945,0.0,6.6
8,9,26,1,5,18,0.575,2.215,,15.5
9,10,47,3,23,115,0.653,3.947,0.0,4.0
10,11,44,3,8,88,0.285,5.083,1.0,6.1
11,12,34,2,9,40,0.374,0.266,,1.6
12,13,24,1,7,18,0.526,0.643,0.0,6.5
13,14,46,1,6,30,1.415,3.865,,17.6
14,15,28,3,2,20,0.233,1.6469999999999998,1.0,9.4
15,16,24,1,1,16,0.185,1.287,,9.2
16,17,29,1,1,17,0.132,0.293,0.0,2.5
17,18,43,4,1,26,1.5190000000000001,1.237,0.0,10.6
18,19,44,1,18,61,2.806,3.782,,10.8
19,20,36,1,16,32,0.544,2.944,,10.9
20,21,29,2,6,25,0.585,0.465,0.0,4.2
21,22,36,3,10,43,0.961,4.629,0.0,13.0
22,23,28,3,6,47,5.574,3.7319999999999998,1.0,19.8
23,24,45,1,19,77,2.303,4.165,0.0,8.4
24,25,37,4,10,123,3.022,18.257,0.0,17.3
25,26,43,1,9,66,2.3409999999999997,3.467,,8.8
26,27,24,1,4,21,0.099,0.447,0.0,2.6
27,28,37,1,19,38,2.591,2.539,,13.5
28,29,38,2,13,59,0.408,1.008,0.0,2.4
29,30,34,2,9,45,1.1179999999999999,3.427,0.0,10.1
30,31,40,3,18,100,1.485,1.015,0.0,2.5
31,32,42,2,12,55,2.533,5.7170000000000005,0.0,15.0
32,33,23,2,0,42,1.0190000000000001,0.619,1.0,3.9
33,34,40,3,5,28,1.263,1.537,,10.0
34,35,28,1,12,45,1.854,1.611,0.0,7.7
35,36,33,2,5,37,1.0290000000000001,2.079,,8.4
36,37,35,3,5,37,0.581,1.4169999999999998,1.0,5.4
37,38,37,1,0,18,1.584,0.738,1.0,12.9
38,39,22,1,1,18,0.27,0.522,0.0,4.4
39,40,39,3,16,126,1.405,7.162999999999999,,6.8
40,41,20,1,4,14,0.201,1.157,1.0,9.7
41,42,48,3,17,113,3.3760000000000003,10.184,0.0,12.0
42,43,28,2,5,34,3.0989999999999998,4.993,0.0,23.8
43,44,37,5,9,177,0.888,9.555,0.0,5.9
44,45,48,1,3,27,1.403,4.348,0.0,21.3
45,46,45,3,9,84,1.276,9.728,,13.1
46,47,22,1,4,14,0.225,2.225,0.0,17.5
47,48,30,1,4,21,0.22899999999999998,0.506,,3.5
48,49,28,1,3,19,0.261,0.518,0.0,4.1
49,50,29,2,10,61,0.7979999999999999,2.984,,6.2
50,51,47,1,22,81,1.506,2.949,0.0,5.5
51,52,36,1,11,33,1.266,9.459,0.0,32.5
52,53,24,1,3,19,1.358,3.278,1.0,24.4
53,54,56,1,19,66,0.847,1.331,,3.3
54,55,29,3,5,70,3.176,10.754000000000001,1.0,19.9
55,56,34,1,2,25,0.573,2.577,1.0,12.6
56,57,32,1,1,20,0.315,0.645,1.0,4.8
57,58,27,3,2,26,0.722,0.838,0.0,6.0
58,59,40,1,9,64,0.79,3.4339999999999997,0.0,6.6
59,60,50,1,11,36,0.835,0.893,0.0,4.8
60,61,39,1,17,60,2.45,5.77,0.0,13.7
61,62,34,1,18,34,2.1,3.136,0.0,15.4
62,63,36,1,18,67,5.245,2.259,0.0,11.2
63,64,44,2,18,74,4.522,5.394,0.0,13.4
64,65,24,2,4,20,0.324,0.41600000000000004,0.0,3.7
65,66,31,1,8,44,1.7209999999999999,1.7990000000000002,0.0,8.0
66,67,34,1,16,79,1.735,1.425,0.0,4.0
67,68,26,1,4,27,2.472,0.363,1.0,10.5
68,69,38,1,3,23,0.8320000000000001,2.549,0.0,14.7
69,70,24,1,3,14,0.838,1.416,1.0,16.1
70,71,30,3,8,61,0.55,1.158,0.0,2.8
71,72,40,4,5,75,0.885,0.54,0.0,1.9
72,73,30,2,12,98,2.935,4.121,0.0,7.2
73,74,25,2,5,42,3.366,3.1439999999999997,,15.5
74,75,29,1,9,33,0.6940000000000001,0.89,0.0,4.8
75,76,33,1,5,18,0.985,1.337,0.0,12.9
76,77,43,1,8,45,0.677,0.8079999999999999,0.0,3.3
77,78,35,2,1,21,0.37,1.2890000000000001,0.0,7.9
78,79,41,2,21,145,3.237,14.453,0.0,12.2
79,80,46,2,18,55,0.419,2.001,,4.4
80,81,33,1,12,68,1.3659999999999999,5.978,0.0,10.8
81,82,30,3,0,65,3.9,15.405,1.0,29.7
82,83,40,3,18,157,3.326,7.0360000000000005,0.0,6.6
83,84,38,1,1,42,0.8909999999999999,2.931,,9.1
84,85,49,2,11,51,0.5429999999999999,7.107,0.0,15.0
85,86,26,1,0,15,0.386,0.424,,5.4
86,87,22,4,0,25,1.4909999999999999,1.5590000000000002,,12.2
87,88,29,2,2,16,0.433,1.247,,10.5
88,89,28,2,8,31,1.492,1.05,1.0,8.2
89,90,23,4,0,32,0.818,5.07,1.0,18.4
90,91,37,2,11,75,0.633,1.992,0.0,3.5
91,92,35,2,5,33,0.10300000000000001,0.821,0.0,2.8
92,93,31,1,1,21,0.27699999999999997,0.248,1.0,2.5
93,94,29,1,1,20,0.569,3.1510000000000002,1.0,18.6
94,95,34,3,7,27,0.125,0.469,0.0,2.2
95,96,47,2,7,49,0.254,0.187,,0.9
96,97,37,1,5,27,0.419,2.119,,9.4
