city,latd,longd,population_total
Adelanto,34.57611111,-117.4327778,31765
AgouraHills,34.15333333,-118.7616667,20330
Alameda,37.75611111,-122.2744444,75467
Albany,37.88694444,-122.2977778,18969
Alhambra,34.08194444,-118.135,83089
AlisoViejo,33.575,-117.7255556,47823
Alturas,41.48722222,-120.5425,2827
AmadorCity,38.41944444,-120.8241667,185
AmericanCanyon,38.16805556,-122.2525,19454
Anaheim,33.83611111,-117.8897222,336000
Anderson,40.45222222,-122.2966667,9932
AngelsCamp,38.06833333,-120.5397222,3836
Antioch,38.005,-121.8058333,107100
AppleValley,34.51666667,-117.2166667,69135
Arcadia,34.13277778,-118.0363889,56364
Arcata,40.86638889,-124.0827778,17231
ArroyoGrande,35.12083333,-120.5866667,17716
Artesia,33.86722222,-118.0805556,16522
Arvin,35.20916667,-118.8283333,19304
Atascadero,35.48416667,-120.6725,28310
Atherton,37.45861111,-122.2,6914
Atwater,37.34777778,-120.6091667,28168
Auburn,38.89861111,-121.0744444,13330
Avalon,33.34083333,-118.3277778,3728
Avenal,36.00416667,-120.1288889,13239
Azusa,34.13055556,-117.9069444,46361
Bakersfield,35.36666667,-119.0166667,347483
BaldwinPark,34.08277778,-117.9716667,75390
Banning,33.93166667,-116.8975,29603
Barstow,34.9,-117.0166667,22639
Beaumont,33.92416667,-116.9736111,36877
Bell,33.98333333,-118.1833333,35477
Bellflower,33.88805556,-118.1275,76616
BellGardens,33.96805556,-118.1561111,42072
Belmont,37.51805556,-122.2916667,25835
Belvedere,37.87277778,-122.4644444,2068
Benicia,38.06333333,-122.1561111,26997
Berkeley,37.87166667,-122.2727778,112580
BeverlyHills,34.07305556,-118.3994444,34290
BigBearLake,34.24138889,-116.9033333,5019
Biggs,39.41388889,-121.7102778,1707
Bishop,37.3635,-118.3951,3879
BlueLake,40.88277778,-123.9838889,1253
Blythe,33.61027778,-114.5963889,20817
Bradbury,34.14944444,-117.9744444,1048
Brawley,32.97861111,-115.5302778,24953
Brea,33.92333333,-117.8888889,39282
Brentwood,37.93194444,-121.6958333,51481
Brisbane,37.68083333,-122.4191667,4282
Buellton,34.61416667,-120.1938889,4828
BuenaPark,33.85611111,-118.0041667,80530
Burbank,34.18027778,-118.3283333,103340
Burlingame,37.58333333,-122.3636111,28806
Calabasas,34.13833333,-118.6608333,23058
Calexico,32.67888889,-115.4988889,38572
CaliforniaCity,35.12583333,-117.9858333,14120
Calimesa,33.98805556,-117.0430556,7879
Calipatria,33.12555556,-115.5141667,7705
Calistoga,38.58138889,-122.5827778,5155
Camarillo,34.23333333,-119.0333333,65201
Campbell,37.28388889,-121.955,39349
CanyonLake,33.68416667,-117.2555556,10561
Capitola,36.97638889,-121.9547222,9918
Carlsbad,33.12194444,-117.2969444,105328
CarmelbytheSea,36.55527778,-121.9233333,3722
Carpinteria,34.39916667,-119.5163889,13040
Carson,33.83972222,-118.2597222,91714
CathedralCity,33.80777778,-116.4647222,51200
Ceres,37.60138889,-120.9572222,45417
Cerritos,33.86833333,-118.0675,49041
Chico,39.74,-121.8355556,86187
Chino,34.01777778,-117.69,77983
ChinoHills,33.97527778,-117.7230556,75655
Chowchilla,37.11666667,-120.2666667,18720
ChulaVista,32.62777778,-117.0480556,243916
