0,1,2,3,4,5,6
Bread,Wine,Eggs,Meat,Cheese,Pencil,Diaper
Bread,Cheese,Meat,Diaper,Wine,Milk,Pencil
Cheese,Meat,Eggs,Milk,Wine,,
Cheese,Meat,Eggs,Milk,Wine,,
Meat,Pencil,Wine,,,,
Eggs,Bread,Wine,Pencil,Milk,Diaper,Bagel
Wine,Pencil,Eggs,Cheese,,,
Bagel,Bread,Milk,Pencil,Diaper,,
Bread,Diaper,Cheese,Milk,Wine,Eggs,
Bagel,Wine,Diaper,Meat,Pencil,Eggs,Cheese
Cheese,Meat,Eggs,Milk,Wine,,
Bagel,Eggs,Meat,Bread,Diaper,Wine,Milk
Bread,Diaper,Pencil,Bagel,Meat,,
Bagel,Cheese,Milk,Meat,,,
Bread,,,,,,
Pencil,Diaper,Bagel,,,,
Meat,Bagel,Bread,,,,
Bread,Bagel,Milk,,,,
Diaper,,,,,,
Bagel,Cheese,Meat,Bread,Diaper,Eggs,
Meat,Pencil,Cheese,Bread,,,
Cheese,Eggs,Wine,Bread,Milk,Pencil,Meat
Eggs,Bagel,Cheese,Meat,Diaper,,
Diaper,Wine,Eggs,Pencil,Meat,,
Diaper,Meat,Milk,Bread,Bagel,Cheese,
Pencil,,,,,,
Cheese,Meat,Eggs,Milk,Wine,,
Diaper,Meat,Bread,Pencil,Wine,Cheese,Milk
Bread,Bagel,,,,,
Meat,Bread,Eggs,Cheese,Milk,Diaper,
Diaper,Meat,,,,,
Cheese,Bagel,Bread,Diaper,Wine,,
Cheese,Milk,Bread,,,,
Bread,Bagel,Milk,,,,
Diaper,Bread,Wine,Meat,Bagel,,
Bread,Cheese,Milk,Wine,Diaper,,
Bread,Bagel,Milk,,,,
Bread,Bagel,Milk,,,,
Eggs,,,,,,
Bread,Bagel,Milk,,,,
Bread,Bagel,Milk,,,,
Meat,,,,,,
Eggs,Wine,Milk,Cheese,Pencil,Bagel,Bread
Bagel,Eggs,,,,,
Diaper,Wine,Meat,,,,
Diaper,Bread,Bagel,Eggs,Wine,Milk,Cheese
Cheese,Meat,Eggs,Milk,,,
Eggs,Wine,,,,,
Cheese,Meat,Eggs,Milk,Wine,,
Wine,Milk,,,,,
Diaper,,,,,,
Wine,Bread,Bagel,Diaper,Milk,,
Cheese,Meat,Eggs,Milk,Wine,,
Cheese,Meat,Eggs,Milk,,,
Cheese,Diaper,Meat,Wine,Bread,,
Wine,Milk,Diaper,Pencil,Cheese,Eggs,
Cheese,Eggs,Meat,Diaper,Wine,Milk,Bread
Diaper,Eggs,,,,,
Cheese,Meat,Eggs,Milk,Wine,,
Wine,Cheese,Bagel,Pencil,Bread,Meat,Diaper
Milk,Pencil,Cheese,Bagel,,,
Meat,Cheese,Diaper,Wine,,,
Bread,Bagel,Milk,,,,
Bread,Meat,Pencil,Milk,Wine,Diaper,
Pencil,Cheese,Diaper,Wine,Eggs,,
Bread,Diaper,Milk,Pencil,Cheese,Eggs,
Pencil,Milk,Cheese,,,,
Eggs,Bagel,Bread,,,,
Diaper,Bread,Cheese,Bagel,Meat,Pencil,
Bread,Bagel,Milk,Diaper,,,
Eggs,Bread,,,,,
Pencil,Milk,Diaper,Eggs,,,
Pencil,Milk,Meat,Cheese,,,
Bagel,Bread,Diaper,Cheese,Meat,,
Cheese,Meat,Eggs,Milk,,,
