Id,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,3,0,22.0,1,0,7.25,1
1,1,1,38.0,1,0,71.2833,0
2,3,1,26.0,0,0,7.925,1
3,1,1,35.0,1,0,53.1,1
4,3,0,35.0,0,0,8.05,1
5,3,0,20.0,0,0,8.4583,2
6,1,0,54.0,0,0,51.8625,1
7,3,0,2.0,3,1,21.075,1
8,3,1,27.0,0,2,11.1333,1
9,2,1,14.0,1,0,30.0708,0
10,3,1,4.0,1,1,16.7,1
11,1,1,58.0,0,0,26.55,1
12,3,0,20.0,0,0,8.05,1
13,3,0,39.0,1,5,31.275,1
14,3,1,14.0,0,0,7.8542,1
15,2,1,55.0,0,0,16.0,1
16,3,0,2.0,4,1,29.125,2
17,2,0,30.0,0,0,13.0,1
18,3,1,31.0,1,0,18.0,1
19,3,1,38.0,0,0,7.225,0
20,2,0,35.0,0,0,26.0,1
21,2,0,34.0,0,0,13.0,1
22,3,1,15.0,0,0,8.0292,2
23,1,0,28.0,0,0,35.5,1
24,3,1,8.0,3,1,21.075,1
25,3,1,38.0,1,5,31.3875,1
26,3,0,32.0,0,0,7.225,0
27,1,0,19.0,3,2,263.0,1
28,3,1,22.0,0,0,7.8792,2
29,3,0,34.0,0,0,7.8958,1
30,1,0,40.0,0,0,27.7208,0
31,1,1,39.0,1,0,146.5208,0
32,3,1,34.0,0,0,7.75,2
33,2,0,66.0,0,0,10.5,1
34,1,0,28.0,1,0,82.1708,0
35,1,0,42.0,1,0,52.0,1
36,3,0,23.0,0,0,7.2292,0
37,3,0,21.0,0,0,8.05,1
38,3,1,18.0,2,0,18.0,1
39,3,1,14.0,1,0,11.2417,0
40,3,1,40.0,1,0,9.475,1
41,2,1,27.0,1,0,21.0,1
42,3,0,27.0,0,0,7.8958,0
43,2,1,3.0,1,2,41.5792,0
44,3,1,19.0,0,0,7.8792,2
45,3,0,30.0,0,0,8.05,1
46,3,0,22.0,1,0,15.5,2
47,3,1,27.0,0,0,7.75,2
48,3,0,36.0,2,0,21.6792,0
49,3,1,18.0,1,0,17.8,1
50,3,0,7.0,4,1,39.6875,1
51,3,0,21.0,0,0,7.8,1
52,1,1,49.0,1,0,76.7292,0
53,2,1,29.0,1,0,26.0,1
54,1,0,65.0,0,1,61.9792,0
55,1,0,39.0,0,0,35.5,1
56,2,1,21.0,0,0,10.5,1
57,3,0,28.5,0,0,7.2292,0
58,2,1,5.0,1,2,27.75,1
59,3,0,11.0,5,2,46.9,1
60,3,0,22.0,0,0,7.2292,0
61,1,1,38.0,0,0,80.0,0
62,1,0,45.0,1,0,83.475,1
63,3,0,4.0,3,2,27.9,1
64,1,0,30.0,0,0,27.7208,0
65,3,0,30.0,1,1,15.2458,0
66,2,1,29.0,0,0,10.5,1
67,3,0,19.0,0,0,8.1583,1
68,3,1,17.0,4,2,7.925,1
69,3,0,26.0,2,0,8.6625,1
70,2,0,32.0,0,0,10.5,1
71,3,1,16.0,5,2,46.9,1
72,2,0,21.0,0,0,73.5,1
73,3,0,26.0,1,0,14.4542,0
74,3,0,32.0,0,0,56.4958,1
75,3,0,25.0,0,0,7.65,1
76,3,0,28.0,0,0,7.8958,1
77,3,0,20.0,0,0,8.05,1
78,2,0,0.83,0,2,29.0,1
79,3,1,30.0,0,0,12.475,1
80,3,0,22.0,0,0,9.0,1
81,3,0,29.0,0,0,9.5,1
82,3,1,34.0,0,0,7.7875,2
83,1,0,28.0,0,0,47.1,1
84,2,1,17.0,0,0,10.5,1
85,3,1,33.0,3,0,15.85,1
86,3,0,16.0,1,3,34.375,1
87,3,0,26.0,0,0,8.05,1
88,1,1,23.0,3,2,263.0,1
89,3,0,24.0,0,0,8.05,1
90,3,0,29.0,0,0,8.05,1
91,3,0,20.0,0,0,7.8542,1
92,1,0,46.0,1,0,61.175,1
93,3,0,26.0,1,2,20.575,1
94,3,0,59.0,0,0,7.25,1
95,3,0,30.0,0,0,8.05,1
96,1,0,71.0,0,0,34.6542,0
97,1,0,23.0,0,1,63.3583,0
98,2,1,34.0,0,1,23.0,1
99,2,0,34.0,1,0,26.0,1
100,3,1,28.0,0,0,7.8958,1
101,3,0,25.0,0,0,7.8958,1
102,1,0,21.0,0,1,77.2875,1
103,3,0,33.0,0,0,8.6542,1
104,3,0,37.0,2,0,7.925,1
105,3,0,28.0,0,0,7.8958,1
106,3,1,21.0,0,0,7.65,1
107,3,0,36.0,0,0,7.775,1
108,3,0,38.0,0,0,7.8958,1
109,3,1,38.0,1,0,24.15,2
110,1,0,47.0,0,0,52.0,1
111,3,1,14.5,1,0,14.4542,0
112,3,0,22.0,0,0,8.05,1
113,3,1,20.0,1,0,9.825,1
114,3,1,17.0,0,0,14.4583,0
115,3,0,21.0,0,0,7.925,1
116,3,0,70.5,0,0,7.75,2
117,2,0,29.0,1,0,21.0,1
118,1,0,24.0,0,1,247.5208,0
119,3,1,2.0,4,2,31.275,1
120,2,0,21.0,2,0,73.5,1
121,3,0,34.0,0,0,8.05,1
122,2,0,32.5,1,0,30.0708,0
123,2,1,32.5,0,0,13.0,1
124,1,0,54.0,0,1,77.2875,1
125,3,0,12.0,1,0,11.2417,0
126,3,0,32.0,0,0,7.75,2
127,3,0,24.0,0,0,7.1417,1
128,3,1,19.0,1,1,22.3583,0
129,3,0,45.0,0,0,6.975,1
130,3,0,33.0,0,0,7.8958,0
